"","RefSeq_accession_number","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Organism","Length"
"12876","NP_001002274","P31994","reviewed","FCG2B_HUMAN","Low affinity immunoglobulin gamma Fc region receptor II-b (IgG Fc receptor II-b) (CDw32) (Fc-gamma RII-b) (Fc-gamma-RIIb) (FcRII-b) (CD antigen CD32)","FCGR2B CD32 FCG2 IGFR2","Homo sapiens (Human)",310
"12877","NP_001257820","O75865","reviewed","TPC6A_HUMAN","Trafficking protein particle complex subunit 6A (TRAPP complex subunit 6A)","TRAPPC6A HSPC289","Homo sapiens (Human)",159
"12878","NP_001257820","B7TZ90","unreviewed","B7TZ90_HUMAN","TRAPPC6Adelta29-42 (Trafficking protein particle complex 6A, isoform CRA_a)","TRAPPC6A hCG_22145","Homo sapiens (Human)",159
"12879","NP_733745","Q8N5H7","reviewed","SH2D3_HUMAN","SH2 domain-containing protein 3C (Cas/HEF1-associated signal transducer) (Chat-H) (Novel SH2-containing protein 3) (SH2 domain-containing Eph receptor-binding protein 1) (SHEP1)","SH2D3C NSP3 UNQ272/PRO309/PRO34088","Homo sapiens (Human)",860
"12880","YP_003024029","P00403","reviewed","COX2_HUMAN","Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)","MT-CO2 COII COX2 COXII MTCO2","Homo sapiens (Human)",227
"12881","YP_003024029","U5Z487","unreviewed","U5Z487_HUMAN","Cytochrome c oxidase subunit 2","COX2 CO2 COII MTCO2 HS5781_0019 HS5782_0019","Homo sapiens (Human)",227
"12882","NP_006867","O43505","reviewed","B4GA1_HUMAN","Beta-1,4-glucuronyltransferase 1 (EC 2.4.1.-) (I-beta-1,3-N-acetylglucosaminyltransferase) (iGnT) (N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase) (Poly-N-acetyllactosamine extension enzyme) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1)","B4GAT1 B3GNT1 B3GNT6","Homo sapiens (Human)",415
"12883","NP_057133","Q9Y3B6","reviewed","EMC9_HUMAN","ER membrane protein complex subunit 9 (Protein FAM158A)","EMC9 C14orf122 FAM158A CGI-112","Homo sapiens (Human)",208
"12884","NP_001091081","B7ZAQ6","reviewed","GPHRA_HUMAN","Golgi pH regulator A (Protein GPR89A) (Putative MAPK-activating protein PM01) (Putative NF-kappa-B-activating protein 90)","GPR89A GPHRA GPR89 SH120 CGI-13 UNQ192/PRO218","Homo sapiens (Human)",455
"12885","NP_001091081","P0CG08","reviewed","GPHRB_HUMAN","Golgi pH regulator B (Protein GPR89B)","GPR89B GPHRB GPR89C HSPC201","Homo sapiens (Human)",455
"12886","NP_001091081","X5D7G6","unreviewed","X5D7G6_HUMAN","G protein-coupled receptor 89A isoform C (G protein-coupled receptor 89B isoform C)","GPR89B GPR89A","Homo sapiens (Human)",455
"12887","NP_620133","Q9BTV6","reviewed","DPH7_HUMAN","Diphthine methyltransferase (EC 3.1.1.97) (Diphthamide biosynthesis protein 7) (WD repeat-containing protein 85)","DPH7 C9orf112 WDR85","Homo sapiens (Human)",452
"12888","NP_997264","Q5GJ75","reviewed","TP8L3_HUMAN","Tumor necrosis factor alpha-induced protein 8-like protein 3 (TNF alpha-induced protein 8-like protein 3) (TNFAIP8-like protein 3)","TNFAIP8L3 TIPE3","Homo sapiens (Human)",292
"12889","NP_001161414","Q8WVP5","reviewed","TP8L1_HUMAN","Tumor necrosis factor alpha-induced protein 8-like protein 1 (TIPE1) (TNF alpha-induced protein 8-like protein 1) (TNFAIP8-like protein 1) (Oxidative stress-regulated gene-beta) (Oxy-beta)","TNFAIP8L1","Homo sapiens (Human)",186
"12890","NP_071890","Q9H3S4","reviewed","TPK1_HUMAN","Thiamin pyrophosphokinase 1 (hTPK1) (EC 2.7.6.2) (Placental protein 20) (PP20) (Thiamine pyrophosphokinase 1)","TPK1","Homo sapiens (Human)",243
"12891","NP_071890","A0A090N8Y0","unreviewed","A0A090N8Y0_HUMAN","Thiamine pyrophosphokinase (EC 2.7.6.2)","TPK1 tcag7.508","Homo sapiens (Human)",243
"12892","NP_001021","P42677","reviewed","RS27_HUMAN","Small ribosomal subunit protein eS27 (40S ribosomal protein S27) (Metallopan-stimulin 1) (MPS-1)","RPS27 MPS1","Homo sapiens (Human)",84
"12893","NP_057004","Q71UM5","reviewed","RS27L_HUMAN","Ribosomal protein eS27-like (40S ribosomal protein S27-like) (Small ribosomal subunit protein eS27-like)","RPS27L","Homo sapiens (Human)",84
"12894","NP_004173","Q9UBK9","reviewed","UXT_HUMAN","Protein UXT (Androgen receptor trapped clone 27 protein) (ART-27) (Ubiquitously expressed transcript protein)","UXT HSPC024","Homo sapiens (Human)",157
"12895","NP_997698","Q9BZC7","reviewed","ABCA2_HUMAN","ATP-binding cassette sub-family A member 2 (EC 7.6.2.-) (ATP-binding cassette transporter 2) (ATP-binding cassette 2)","ABCA2 ABC2 KIAA1062","Homo sapiens (Human)",2435
"12896","NP_065950","Q9P1Z0","reviewed","ZBTB4_HUMAN","Zinc finger and BTB domain-containing protein 4 (KAISO-like zinc finger protein 1) (KAISO-L1)","ZBTB4 KIAA1538","Homo sapiens (Human)",1013
"12897","NP_065950","B3KVD4","unreviewed","B3KVD4_HUMAN","cDNA FLJ16429 fis, clone BRACE3008238, highly similar to Zinc finger and BTB domain-containing protein 4","","Homo sapiens (Human)",821
"12898","NP_079051","Q8WXD5","reviewed","GEMI6_HUMAN","Gem-associated protein 6 (Gemin-6) (SIP2)","GEMIN6","Homo sapiens (Human)",167
"12899","NP_113650","Q8TCZ2","reviewed","C99L2_HUMAN","CD99 antigen-like protein 2 (MIC2-like protein 1) (CD antigen CD99)","CD99L2 MIC2L1 UNQ1964/PRO4486","Homo sapiens (Human)",262
"12900","NP_113650","A0A024RC16","unreviewed","A0A024RC16_HUMAN","CD99 molecule-like 2 isoform 1","CD99L2","Homo sapiens (Human)",262
"12901","NP_065145","Q7LBR1","reviewed","CHM1B_HUMAN","Charged multivesicular body protein 1b (CHMP1.5) (Chromatin-modifying protein 1b) (CHMP1b) (Vacuolar protein sorting-associated protein 46-2) (Vps46-2) (hVps46-2)","CHMP1B C18orf2","Homo sapiens (Human)",199
"12902","NP_004863","Q9BXS4","reviewed","TMM59_HUMAN","Transmembrane protein 59 (Liver membrane-bound protein)","TMEM59 C1orf8 HSPC001 UNQ169/PRO195","Homo sapiens (Human)",323
"12903","NP_055060","Q9UBF6","reviewed","RBX2_HUMAN","RING-box protein 2 (Rbx2) (CKII beta-binding protein 1) (CKBBP1) (RING finger protein 7) (Regulator of cullins 2) (Sensitive to apoptosis gene protein)","RNF7 RBX2 ROC2 SAG","Homo sapiens (Human)",113
"12904","NP_689578","Q8NAX2","reviewed","KDF1_HUMAN","Keratinocyte differentiation factor 1","KDF1 C1orf172","Homo sapiens (Human)",398
"12905","NP_115879","Q9BXV9","reviewed","GON7_HUMAN","EKC/KEOPS complex subunit GON7","GON7 C14orf142","Homo sapiens (Human)",100
"12906","NP_001165419","Q9BQD3","reviewed","KXDL1_HUMAN","KxDL motif-containing protein 1","KXD1 C19orf50","Homo sapiens (Human)",176
"12907","NP_067652","Q9HC44","reviewed","GPBL1_HUMAN","Vasculin-like protein 1 (GC-rich promoter-binding protein 1-like 1)","GPBP1L1 SP192","Homo sapiens (Human)",474
"12908","NP_066979","Q9H1E5","reviewed","TMX4_HUMAN","Thioredoxin-related transmembrane protein 4 (Thioredoxin domain-containing protein 13)","TMX4 KIAA1162 TXNDC13 PSEC0095 UNQ475/PRO938","Homo sapiens (Human)",349
"12909","NP_006173","Q16832","reviewed","DDR2_HUMAN","Discoidin domain-containing receptor 2 (Discoidin domain receptor 2) (EC 2.7.10.1) (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD antigen CD167b)","DDR2 NTRKR3 TKT TYRO10","Homo sapiens (Human)",855
"12910","NP_001265358","Q8NHJ6","reviewed","LIRB4_HUMAN","Leukocyte immunoglobulin-like receptor subfamily B member 4 (B4) (CD85 antigen-like family member K) (Immunoglobulin-like transcript 3) (ILT-3) (Leukocyte immunoglobulin-like receptor 5) (LIR-5) (Monocyte inhibitory receptor HM18) (CD antigen CD85k)","LILRB4 ILT3 LIR5","Homo sapiens (Human)",448
"12911","NP_001265356","Q8NHJ6","reviewed","LIRB4_HUMAN","Leukocyte immunoglobulin-like receptor subfamily B member 4 (B4) (CD85 antigen-like family member K) (Immunoglobulin-like transcript 3) (ILT-3) (Leukocyte immunoglobulin-like receptor 5) (LIR-5) (Monocyte inhibitory receptor HM18) (CD antigen CD85k)","LILRB4 ILT3 LIR5","Homo sapiens (Human)",448
"12912","NP_001265356","A0A0A0MSZ8","unreviewed","A0A0A0MSZ8_HUMAN","Leukocyte immunoglobulin like receptor B4","LILRB4","Homo sapiens (Human)",447
"12913","NP_001075106","Q8NHL6","reviewed","LIRB1_HUMAN","Leukocyte immunoglobulin-like receptor subfamily B member 1 (LIR-1) (Leukocyte immunoglobulin-like receptor 1) (CD85 antigen-like family member J) (Immunoglobulin-like transcript 2) (ILT-2) (Monocyte/macrophage immunoglobulin-like receptor 7) (MIR-7) (CD antigen CD85j)","LILRB1 ILT2 LIR1 MIR7","Homo sapiens (Human)",650
"12914","NP_001075106","A0A087WSV6","unreviewed","A0A087WSV6_HUMAN","Leukocyte immunoglobulin like receptor B1","LILRB1","Homo sapiens (Human)",652
"12915","NP_006856","Q8N6C8","reviewed","LIRA3_HUMAN","Leukocyte immunoglobulin-like receptor subfamily A member 3 (CD85 antigen-like family member E) (Immunoglobulin-like transcript 6) (ILT-6) (Leukocyte immunoglobulin-like receptor 4) (LIR-4) (Monocyte inhibitory receptor HM43/HM31) (CD antigen CD85e)","LILRA3 ILT6 LIR4","Homo sapiens (Human)",439
"12916","NP_005865","Q8N423","reviewed","LIRB2_HUMAN","Leukocyte immunoglobulin-like receptor subfamily B member 2 (LIR-2) (Leukocyte immunoglobulin-like receptor 2) (CD85 antigen-like family member D) (Immunoglobulin-like transcript 4) (ILT-4) (Monocyte/macrophage immunoglobulin-like receptor 10) (MIR-10) (CD antigen CD85d)","LILRB2 ILT4 LIR2 MIR10","Homo sapiens (Human)",597
"12917","NP_079203","Q7Z736","reviewed","PKHH3_HUMAN","Pleckstrin homology domain-containing family H member 3 (PH domain-containing family H member 3)","PLEKHH3","Homo sapiens (Human)",793
"12918","NP_001004125","Q2TAM9","reviewed","TUSC1_HUMAN","Tumor suppressor candidate gene 1 protein (TSG-9) (TSG9)","TUSC1","Homo sapiens (Human)",212
"12919","NP_065907","Q63HK5","reviewed","TSH3_HUMAN","Teashirt homolog 3 (Zinc finger protein 537)","TSHZ3 KIAA1474 TSH3 ZNF537","Homo sapiens (Human)",1081
"12920","NP_116130","Q99943","reviewed","PLCA_HUMAN","1-acyl-sn-glycerol-3-phosphate acyltransferase alpha (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 1) (1-AGP acyltransferase 1) (1-AGPAT 1) (Lysophosphatidic acid acyltransferase alpha) (LPAAT-alpha) (Protein G15)","AGPAT1 G15","Homo sapiens (Human)",283
"12921","NP_116130","A0A024RCV5","unreviewed","A0A024RCV5_HUMAN","1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)","","Homo sapiens (Human)",283
"12922","NP_065944","Q9P1Z9","reviewed","CC180_HUMAN","Coiled-coil domain-containing protein 180","CCDC180 C9orf174 KIAA1529","Homo sapiens (Human)",1701
"12923","NP_065944","B4DZK1","unreviewed","B4DZK1_HUMAN","cDNA FLJ50036, weakly similar to Myosin-11","","Homo sapiens (Human)",905
"12924","NP_001240605","P62380","reviewed","TBPL1_HUMAN","TATA box-binding protein-like 1 (TBP-like 1) (21 kDa TBP-like protein) (Second TBP of unique DNA protein) (STUD) (TATA box-binding protein-related factor 2) (TBP-related factor 2) (TBP-like factor) (TBP-related protein)","TBPL1 TLF TLP TLP21 TRF2 TRP","Homo sapiens (Human)",186
"12925","NP_789744","O95427","reviewed","PIGN_HUMAN","GPI ethanolamine phosphate transferase 1 (EC 2.-.-.-) (MCD4 homolog) (Phosphatidylinositol-glycan biosynthesis class N protein) (PIG-N)","PIGN MCD4","Homo sapiens (Human)",931
"12926","NP_060108","Q9BUE0","reviewed","MED18_HUMAN","Mediator of RNA polymerase II transcription subunit 18 (Mediator complex subunit 18) (p28b)","MED18","Homo sapiens (Human)",208
"12927","NP_112578","Q9C086","reviewed","IN80B_HUMAN","INO80 complex subunit B (High mobility group AT-hook 1-like 4) (IES2 homolog) (hIes2) (PAP-1-associated protein 1) (PAPA-1) (Zinc finger HIT domain-containing protein 4)","INO80B HMGA1L4 PAPA1 ZNHIT4","Homo sapiens (Human)",356
"12928","NP_006020","Q8ND90","reviewed","PNMA1_HUMAN","Paraneoplastic antigen Ma1 (37 kDa neuronal protein) (Neuron- and testis-specific protein 1)","PNMA1 MA1","Homo sapiens (Human)",353
"12929","NP_001191375","Q9NUS5","reviewed","AP5S1_HUMAN","AP-5 complex subunit sigma-1 (Adaptor-related protein complex 5 sigma subunit) (Sigma5)","AP5S1 C20orf29","Homo sapiens (Human)",200
"12930","NP_689985","Q8N4U5","reviewed","T11L2_HUMAN","T-complex protein 11-like protein 2","TCP11L2","Homo sapiens (Human)",519
"12931","NP_061817","Q9NYP9","reviewed","MS18A_HUMAN","Protein Mis18-alpha (FAPP1-associated protein 1)","MIS18A C21orf45 C21orf46 FASP1","Homo sapiens (Human)",233
"12932","NP_006510","P63172","reviewed","DYLT1_HUMAN","Dynein light chain Tctex-type 1 (Protein CW-1) (T-complex testis-specific protein 1 homolog)","DYNLT1 TCTEL1 TCTEX-1 TCTEX1","Homo sapiens (Human)",113
"12933","NP_001018060","Q9Y535","reviewed","RPC8_HUMAN","DNA-directed RNA polymerase III subunit RPC8 (RNA polymerase III subunit C8) (DNA-directed RNA polymerase III subunit H) (RNA polymerase III subunit 22.9 kDa subunit) (RPC22.9)","POLR3H KIAA1665 RPC8","Homo sapiens (Human)",204
"12934","NP_006518","Q14493","reviewed","SLBP_HUMAN","Histone RNA hairpin-binding protein (Histone stem-loop-binding protein)","SLBP HBP","Homo sapiens (Human)",270
"12935","NP_006518","B3KSC5","unreviewed","B3KSC5_HUMAN","Stem-loop (Histone) binding protein, isoform CRA_d (cDNA FLJ35995 fis, clone TESTI2014979, highly similar to Histone RNA hairpin-binding protein)","SLBP hCG_19671","Homo sapiens (Human)",187
"12936","NP_006518","B3KST9","unreviewed","B3KST9_HUMAN","cDNA FLJ36938 fis, clone BRACE2005434, highly similar to Histone RNA hairpin-binding protein","","Homo sapiens (Human)",270
"12937","NP_006518","Q53XR2","unreviewed","Q53XR2_HUMAN","Stem-loop (Histone) binding protein (Stem-loop (Histone) binding protein, isoform CRA_b) (cDNA, FLJ96722, Homo sapiens stem-loop (histone) binding protein (SLBP), mRNA)","SLBP hCG_19671","Homo sapiens (Human)",270
"12938","NP_653201","Q96NB1","reviewed","CEP20_HUMAN","Centrosomal protein 20 (FGFR1OP N-terminal-like protein) (FOP-related protein of 20 kDa) (LisH domain-containing protein FOPNL)","CEP20 C16orf63 FOPNL FOR20 PHSECRG2","Homo sapiens (Human)",174
"12939","NP_071894","Q9H0T7","reviewed","RAB17_HUMAN","Ras-related protein Rab-17","RAB17","Homo sapiens (Human)",212
"12940","NP_004217","O94768","reviewed","ST17B_HUMAN","Serine/threonine-protein kinase 17B (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 2)","STK17B DRAK2","Homo sapiens (Human)",372
"12941","NP_004217","Q53QE7","unreviewed","Q53QE7_HUMAN","Serine/threonine kinase 17b (Apoptosis-inducing) (Uncharacterized protein STK17B) (cDNA, FLJ93309, Homo sapiens serine/threonine kinase 17b (apoptosis-inducing) (STK17B), mRNA)","STK17B hCG_20077","Homo sapiens (Human)",372
"12942","NP_072088","Q9H1K6","reviewed","TLRN1_HUMAN","Talin rod domain-containing protein 1 (Mesoderm development candidate 1)","TLNRD1 MESDC1","Homo sapiens (Human)",362
"12943","NP_003122","P11831","reviewed","SRF_HUMAN","Serum response factor (SRF)","SRF","Homo sapiens (Human)",508
"12944","NP_057485","Q53FT3","reviewed","HIKES_HUMAN","Protein Hikeshi","HIKESHI C11orf73 HSPC138 HSPC179 HSPC248","Homo sapiens (Human)",197
"12945","NP_821158","Q9UJ14","reviewed","GGT7_HUMAN","Glutathione hydrolase 7 (EC 3.4.19.13) (Gamma-glutamyltransferase 7) (GGT 7) (EC 2.3.2.2) (Gamma-glutamyltransferase-like 3) (Gamma-glutamyltransferase-like 5) (Gamma-glutamyltranspeptidase 7) [Cleaved into: Glutathione hydrolase 7 heavy chain; Glutathione hydrolase 7 light chain]","GGT7 GGTL3 GGTL5","Homo sapiens (Human)",662
"12946","NP_821158","A0PJJ9","unreviewed","A0PJJ9_HUMAN","Glutathione hydrolase (EC 2.3.2.2) (EC 3.4.19.13) (Gamma-glutamyltransferase) (Gamma-glutamyltranspeptidase)","GGT7","Homo sapiens (Human)",592
"12947","NP_004770","Q9UFF9","reviewed","CNOT8_HUMAN","CCR4-NOT transcription complex subunit 8 (EC 3.1.13.4) (CAF1-like protein) (CALIFp) (CAF2) (CCR4-associated factor 8) (Caf1b)","CNOT8 CALIF POP2","Homo sapiens (Human)",292
"12948","NP_036592","Q9Y5J7","reviewed","TIM9_HUMAN","Mitochondrial import inner membrane translocase subunit Tim9","TIMM9 TIM9 TIM9A TIMM9A","Homo sapiens (Human)",89
"12949","NP_005793","Q9NS56","reviewed","TOPRS_HUMAN","E3 ubiquitin-protein ligase Topors (EC 2.3.2.27) (RING-type E3 ubiquitin transferase Topors) (SUMO1-protein E3 ligase Topors) (Topoisomerase I-binding RING finger protein) (Topoisomerase I-binding arginine/serine-rich protein) (Tumor suppressor p53-binding protein 3) (p53-binding protein 3) (p53BP3)","TOPORS LUN TP53BPL","Homo sapiens (Human)",1045
"12950","NP_036351","O14807","reviewed","RASM_HUMAN","Ras-related protein M-Ras (EC 3.6.5.2) (Ras-related protein R-Ras3)","MRAS RRAS3","Homo sapiens (Human)",208
"12951","NP_036351","Q6FGP0","unreviewed","Q6FGP0_HUMAN","MRAS protein (Muscle RAS oncogene homolog, isoform CRA_a) (cDNA FLJ42964 fis, clone BRSTN2013741, highly similar to Ras-related protein M-Ras)","MRAS hCG_17104","Homo sapiens (Human)",208
"12952","NP_036351","Q8WVM9","unreviewed","Q8WVM9_HUMAN","Uncharacterized protein","","Homo sapiens (Human)",64
"12953","NP_996261","Q5UCC4","reviewed","EMC10_HUMAN","ER membrane protein complex subunit 10 (Hematopoietic signal peptide-containing membrane domain-containing protein 1)","EMC10 C19orf63 INM02 UNQ764/PRO1556","Homo sapiens (Human)",262
"12954","NP_055239","Q9UBY9","reviewed","HSPB7_HUMAN","Heat shock protein beta-7 (HspB7) (Cardiovascular heat shock protein) (cvHsp)","HSPB7 CVHSP","Homo sapiens (Human)",170
"12955","NP_002505","P48745","reviewed","CCN3_HUMAN","CCN family member 3 (Cellular communication network factor 3) (Insulin-like growth factor-binding protein 9) (IBP-9) (IGF-binding protein 9) (IGFBP-9) (Nephro blastoma-overexpressed gene protein homolog) (Protein NOV homolog) (NovH)","CCN3 IGFBP9 NOV NOVH","Homo sapiens (Human)",357
"12956","NP_005082","O75594","reviewed","PGRP1_HUMAN","Peptidoglycan recognition protein 1 (Peptidoglycan recognition protein short) (PGRP-S)","PGLYRP1 PGLYRP PGRP TNFSF3L SBBI68 UNQ639/PRO1269","Homo sapiens (Human)",196
"12957","NP_057283","Q9UK45","reviewed","LSM7_HUMAN","U6 snRNA-associated Sm-like protein LSm7","LSM7","Homo sapiens (Human)",103
"12958","NP_064574","Q9NPA8","reviewed","ENY2_HUMAN","Transcription and mRNA export factor ENY2 (Enhancer of yellow 2 transcription factor homolog)","ENY2 DC6","Homo sapiens (Human)",101
"12959","NP_114403","Q96EL2","reviewed","RT24_HUMAN","Small ribosomal subunit protein uS3m (28S ribosomal protein S24, mitochondrial) (MRP-S24) (S24mt) (bMRP-47) (bMRP47)","MRPS24 HSPC335","Homo sapiens (Human)",167
"12960","NP_009011","P62312","reviewed","LSM6_HUMAN","U6 snRNA-associated Sm-like protein LSm6","LSM6","Homo sapiens (Human)",80
"12961","NP_060553","Q9NW07","reviewed","ZN358_HUMAN","Zinc finger protein 358","ZNF358","Homo sapiens (Human)",568
"12962","NP_004282","Q16568","reviewed","CART_HUMAN","Cocaine- and amphetamine-regulated transcript protein [Cleaved into: CART(1-39); CART(42-89)]","CARTPT CART","Homo sapiens (Human)",116
"12963","NP_001161707","P0C091","reviewed","FREM3_HUMAN","FRAS1-related extracellular matrix protein 3","FREM3","Homo sapiens (Human)",2139
"12964","NP_001124336","Q96N64","reviewed","PWP2A_HUMAN","PWWP domain-containing protein 2A","PWWP2A KIAA1935 MST101","Homo sapiens (Human)",755
"12965","NP_001258448","B7ZMF5","unreviewed","B7ZMF5_HUMAN","Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)","KCNMA1","Homo sapiens (Human)",1208
"12966","NP_001129425","Q5VSY0","reviewed","GKAP1_HUMAN","G kinase-anchoring protein 1 (cGMP-dependent protein kinase-anchoring protein of 42 kDa)","GKAP1 GKAP42 FKSG21","Homo sapiens (Human)",366
"12967","NP_001257965","O75015","reviewed","FCG3B_HUMAN","Low affinity immunoglobulin gamma Fc region receptor III-B (Fc-gamma RIII-beta) (CD16-I) (Fc-gamma RIII) (Fc-gamma RIIIb) (FcRIII) (FcRIIIb) (FcR-10) (IgG Fc receptor III-1) (CD antigen CD16b)","FCGR3B CD16B FCG3 FCGR3 IGFR3","Homo sapiens (Human)",233
"12968","NP_000560","P08637","reviewed","FCG3A_HUMAN","Low affinity immunoglobulin gamma Fc region receptor III-A (IgG Fc receptor III-A) (CD16-II) (CD16a antigen) (Fc-gamma RIII-alpha) (Fc-gamma RIII) (Fc-gamma RIIIa) (FcRIII) (FcRIIIa) (FcgammaRIIIA) (FcR-10) (IgG Fc receptor III-2) (CD antigen CD16a)","FCGR3A CD16A FCG3 FCGR3 IGFR3","Homo sapiens (Human)",254
"12969","NP_001158243","P52569","reviewed","CTR2_HUMAN","Cationic amino acid transporter 2 (CAT-2) (CAT2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2)","SLC7A2 ATRC2 CAT2","Homo sapiens (Human)",658
"12970","NP_003036","P30825","reviewed","CTR1_HUMAN","High affinity cationic amino acid transporter 1 (CAT-1) (CAT1) (Ecotropic retroviral leukemia receptor homolog) (Ecotropic retrovirus receptor homolog) (Solute carrier family 7 member 1) (System Y+ basic amino acid transporter)","SLC7A1 ATRC1 ERR REC1L","Homo sapiens (Human)",629
"12971","NP_003755","O75558","reviewed","STX11_HUMAN","Syntaxin-11","STX11","Homo sapiens (Human)",287
"12972","NP_114413","Q9H2I8","reviewed","LRMDA_HUMAN","Leucine-rich melanocyte differentiation-associated protein","LRMDA C10orf11 CDA017","Homo sapiens (Human)",198
"12973","NP_057461","Q9P0M2","reviewed","AKA7G_HUMAN","A-kinase anchor protein 7 isoform gamma (AKAP-7 isoform gamma) (A-kinase anchor protein 18 kDa) (AKAP 18) (Protein kinase A-anchoring protein 7 isoform gamma) (PRKA7 isoform gamma)","AKAP7 AKAP18","Homo sapiens (Human)",348
"12974","NP_057461","Q2TAJ5","unreviewed","Q2TAJ5_HUMAN","A kinase (PRKA) anchor protein 7 (A kinase (PRKA) anchor protein 7, isoform CRA_c) (A-kinase anchor protein 7 isoform alpha) (cDNA, FLJ92081, Homo sapiens A kinase (PRKA) anchor protein 7 (AKAP7), transcriptvariant alpha, mRNA)","AKAP7 hCG_20012","Homo sapiens (Human)",81
"12975","NP_061859","Q8TE82","reviewed","S3TC1_HUMAN","SH3 domain and tetratricopeptide repeat-containing protein 1","SH3TC1","Homo sapiens (Human)",1336
"12976","NP_061859","B3KWX8","unreviewed","B3KWX8_HUMAN","SH3 domain and tetratricopeptide repeats 1, isoform CRA_f (cDNA FLJ44177 fis, clone THYMU2037226, highly similar to SH3 domain and tetratricopeptide repeats-containing protein 1)","SH3TC1 hCG_17386","Homo sapiens (Human)",1260
"12977","NP_065974","Q9HCK1","reviewed","ZDBF2_HUMAN","DBF4-type zinc finger-containing protein 2","ZDBF2 KIAA1571","Homo sapiens (Human)",2354
"12978","NP_065974","N0DVB2","unreviewed","N0DVB2_HUMAN","Zinc finger DBF-type containing 2 vesion 1","ZDBF2","Homo sapiens (Human)",2354
"12979","NP_061118","Q9NPE3","reviewed","NOP10_HUMAN","H/ACA ribonucleoprotein complex subunit 3 (Nucleolar protein 10) (Nucleolar protein family A member 3) (snoRNP protein NOP10)","NOP10 NOLA3","Homo sapiens (Human)",64
"12980","NP_079231","Q8IWF2","reviewed","FXRD2_HUMAN","FAD-dependent oxidoreductase domain-containing protein 2 (Endoplasmic reticulum flavoprotein associated with degradation)","FOXRED2 ERFAD","Homo sapiens (Human)",684
"12981","NP_079526","Q9C0H2","reviewed","TTYH3_HUMAN","Protein tweety homolog 3 (hTTY3)","TTYH3 KIAA1691","Homo sapiens (Human)",523
"12982","NP_079526","Q8WYU9","unreviewed","Q8WYU9_HUMAN","Uncharacterized protein pp5715","pp5715","Homo sapiens (Human)",199
"12983","NP_777579","Q6ZUM4","reviewed","RHG27_HUMAN","Rho GTPase-activating protein 27 (CIN85-associated multi-domain-containing Rho GTPase-activating protein 1) (Rho-type GTPase-activating protein 27) (SH3 domain-containing protein 20)","ARHGAP27 CAMGAP1 SH3D20 PP905","Homo sapiens (Human)",889
"12984","NP_001006611","Q8IUQ4","reviewed","SIAH1_HUMAN","E3 ubiquitin-protein ligase SIAH1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SIAH1) (Seven in absentia homolog 1) (Siah-1) (Siah-1a)","SIAH1 HUMSIAH","Homo sapiens (Human)",282
"12985","NP_005058","O43255","reviewed","SIAH2_HUMAN","E3 ubiquitin-protein ligase SIAH2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SIAH2) (Seven in absentia homolog 2) (Siah-2) (hSiah2)","SIAH2","Homo sapiens (Human)",324
"12986","NP_001744","Q03135","reviewed","CAV1_HUMAN","Caveolin-1","CAV1 CAV","Homo sapiens (Human)",178
"12987","NP_001744","Q2TNI1","unreviewed","Q2TNI1_HUMAN","Caveolin","CAV1 hCG_39088 tcag7.24","Homo sapiens (Human)",178
"12988","NP_001744","Q59E85","unreviewed","Q59E85_HUMAN","Caveolin","","Homo sapiens (Human)",217
"12989","NP_115678","Q9BT73","reviewed","PSMG3_HUMAN","Proteasome assembly chaperone 3 (PAC-3) (hPAC3)","PSMG3 C7orf48 PAC3","Homo sapiens (Human)",122
"12990","NP_001034761","Q5BJH7","reviewed","YIF1B_HUMAN","Protein YIF1B (YIP1-interacting factor homolog B)","YIF1B PP4519 UNQ3073/PRO9905","Homo sapiens (Human)",314
"12991","NP_001034761","Q9H5F7","unreviewed","Q9H5F7_HUMAN","Hypothetical LOC541469 protein (Yip1 interacting factor homolog B (S. cerevisiae)) (cDNA: FLJ23477 fis, clone HSI15732)","LOC541469 YIF1B hCG_1785221","Homo sapiens (Human)",142
